trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
235,True,"{'a': 0, 'e': 0}",25,12,22.376169883555416,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
236,True,"{'a': 0, 'e': 0}",20,0,32.14287442409533,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
237,True,"{'a': 0, 'e': 0}",20,4,27.238103771490334,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
238,True,"{'a': 0, 'e': 0}",20,0,11.687513698323635,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
239,True,"{'a': 0, 'e': 0}",30,1,-25.871407171719806,"{0: 26, 1: 0, 2: 2, 3: 0, 4: 1}",1
240,True,"{'a': 0, 'e': 0}",30,10,34.656192744675145,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
241,True,"{'a': 0, 'e': 0}",25,7,6.486185336178565,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 0}",1
242,True,"{'a': 0, 'e': 0}",30,14,22.821174990586304,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
243,True,"{'a': 0, 'e': 0}",35,20,24.36767013705504,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
244,True,"{'a': 0, 'e': 0}",20,0,20.525414140845978,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
245,True,"{'a': 0, 'e': 0}",20,0,24.251902155977735,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
246,True,"{'a': 0, 'e': 0}",20,12,10.476735487570112,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
247,True,"{'a': 0, 'e': 0}",20,0,12.900906077520235,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
248,True,"{'a': 0, 'e': 0}",20,6,18.696508701534647,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
249,True,"{'a': 0, 'e': 0}",20,4,25.531504677987208,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
250,True,"{'a': 0, 'e': 0}",25,0,18.348017195404537,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
251,True,"{'a': 0, 'e': 0}",30,4,34.69491122901957,"{0: 26, 1: 0, 2: 0, 3: 0, 4: 0}",1
252,True,"{'a': 0, 'e': 0}",20,0,26.328616178363657,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
253,True,"{'a': 0, 'e': 0}",20,0,29.263130948052094,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
254,True,"{'a': 0, 'e': 0}",20,10,19.610098139880407,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
255,True,"{'a': 0, 'e': 0}",25,0,20.390520336250106,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
256,True,"{'a': 0, 'e': 0}",30,15,26.129473583808107,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
257,True,"{'a': 0, 'e': 0}",20,3,28.00091326756564,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
258,True,"{'a': 0, 'e': 0}",35,27,13.544782676156947,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
259,True,"{'a': 0, 'e': 0}",20,1,29.05119505144263,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
260,True,"{'a': 0, 'e': 0}",20,0,28.449704946411394,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
261,True,"{'a': 0, 'e': 0}",25,0,39.89253669371891,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
262,True,"{'a': 0, 'e': 0}",20,11,18.200091210927784,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
263,True,"{'a': 0, 'e': 0}",20,5,24.13040792340421,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
264,True,"{'a': 0, 'e': 0}",20,10,13.981725606497838,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
265,True,"{'a': 0, 'e': 0}",20,8,16.06178903894012,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
266,True,"{'a': 0, 'e': 0}",20,0,29.825216411561865,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
267,True,"{'a': 0, 'e': 0}",20,0,33.239468421699996,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
268,True,"{'a': 0, 'e': 0}",20,16,6.998026800617811,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
269,True,"{'a': 0, 'e': 0}",25,0,2.6812738088473758,"{0: 23, 1: 0, 2: 1, 3: 1, 4: 0}",0
270,True,"{'a': 0, 'e': 0}",30,17,20.104362788560298,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
271,True,"{'a': 0, 'e': 0}",20,6,25.577484794732843,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
272,True,"{'a': 0, 'e': 0}",20,10,20.104218724403765,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
273,True,"{'a': 0, 'e': 0}",25,0,29.622099513654256,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
274,True,"{'a': 0, 'e': 0}",20,0,15.331406192956594,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
275,True,"{'a': 0, 'e': 0}",30,15,26.47598142086462,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
276,True,"{'a': 0, 'e': 0}",25,16,14.200125743150323,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
277,True,"{'a': 0, 'e': 0}",30,7,-33.94843605723591,"{0: 20, 1: 0, 2: 2, 3: 0, 4: 1}",1
278,True,"{'a': 0, 'e': 0}",20,4,26.592295613118406,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
279,True,"{'a': 0, 'e': 0}",25,0,-24.912315742956586,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
280,True,"{'a': 0, 'e': 0}",20,4,24.068197400123708,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
281,True,"{'a': 0, 'e': 0}",20,14,12.813744939113846,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
282,True,"{'a': 0, 'e': 0}",20,0,27.257059811418745,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
283,True,"{'a': 0, 'e': 0}",25,11,25.584370862454758,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
284,True,"{'a': 0, 'e': 0}",20,0,19.827890831136276,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
285,True,"{'a': 0, 'e': 0}",20,2,-13.325391583265692,"{0: 16, 1: 0, 2: 0, 3: 2, 4: 0}",1
286,True,"{'a': 0, 'e': 0}",30,0,42.09788322206414,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
287,True,"{'a': 0, 'e': 0}",25,0,32.30474576301356,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
288,True,"{'a': 0, 'e': 0}",20,5,24.70808289461262,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
289,True,"{'a': 0, 'e': 0}",20,0,9.807270703682768,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
290,True,"{'a': 0, 'e': 0}",30,18,19.158863820505683,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
291,True,"{'a': 0, 'e': 0}",25,2,8.610346065755518,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 0}",1
292,True,"{'a': 0, 'e': 0}",20,0,12.825738180165544,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
293,True,"{'a': 0, 'e': 0}",20,8,22.572179395124703,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
294,True,"{'a': 0, 'e': 0}",25,0,36.541410595362834,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
295,True,"{'a': 0, 'e': 0}",35,20,30.28218822313085,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
296,True,"{'a': 0, 'e': 0}",25,15,20.618891760546283,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
297,True,"{'a': 0, 'e': 0}",20,2,24.70417926214074,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
298,True,"{'a': 0, 'e': 0}",20,0,33.67903798838907,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
299,True,"{'a': 0, 'e': 0}",20,9,23.288447452546677,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
300,True,"{'a': 0, 'e': 0}",25,11,26.315874472878072,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
301,True,"{'a': 0, 'e': 0}",35,19,27.969488068972833,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
302,True,"{'a': 0, 'e': 0}",20,6,27.703419198321427,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
303,True,"{'a': 0, 'e': 0}",30,8,39.071547096361854,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
304,True,"{'a': 0, 'e': 0}",25,0,41.41793947136425,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
305,True,"{'a': 0, 'e': 0}",30,20,18.753295138456902,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
306,True,"{'a': 0, 'e': 0}",20,5,-4.559947997501061,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 0}",1
307,True,"{'a': 0, 'e': 0}",25,7,28.693818486685565,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
308,True,"{'a': 0, 'e': 0}",25,2,-19.399749976131087,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 1}",1
309,True,"{'a': 0, 'e': 0}",20,0,13.55613744155925,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
310,True,"{'a': 0, 'e': 0}",20,16,6.306260426002417,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
311,True,"{'a': 0, 'e': 0}",20,0,10.48091758214003,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
312,True,"{'a': 0, 'e': 0}",30,10,37.10029075220806,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
313,True,"{'a': 0, 'e': 0}",20,0,30.846281536117665,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
314,True,"{'a': 0, 'e': 0}",25,2,11.490267740188564,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 0}",1
315,True,"{'a': 0, 'e': 0}",25,0,-11.367869723823615,"{0: 23, 1: 0, 2: 0, 3: 2, 4: 0}",0
316,True,"{'a': 0, 'e': 0}",20,0,28.97945036394724,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
317,True,"{'a': 0, 'e': 0}",20,0,25.019197667302308,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
318,True,"{'a': 0, 'e': 0}",30,16,29.560578335486984,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
319,True,"{'a': 0, 'e': 0}",25,0,30.94013420856018,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
320,True,"{'a': 0, 'e': 0}",30,16,22.354861313026312,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
321,True,"{'a': 0, 'e': 0}",20,10,20.668667258490558,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
322,True,"{'a': 0, 'e': 0}",30,23,15.494589137253554,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
323,True,"{'a': 0, 'e': 0}",20,0,21.539881776420632,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
324,True,"{'a': 0, 'e': 0}",25,0,14.258954022567574,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
325,True,"{'a': 0, 'e': 0}",20,0,25.58890973617262,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
326,True,"{'a': 0, 'e': 0}",25,0,-10.966097248880043,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
327,True,"{'a': 0, 'e': 0}",25,12,20.704452830507574,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
328,True,"{'a': 0, 'e': 0}",20,14,12.844911429295346,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
329,True,"{'a': 0, 'e': 0}",20,0,23.331636784160676,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
330,True,"{'a': 0, 'e': 0}",20,0,0.1631404723004829,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
331,True,"{'a': 0, 'e': 0}",25,20,11.503014439523797,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
332,True,"{'a': 0, 'e': 0}",20,0,21.5064265411669,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
333,True,"{'a': 0, 'e': 0}",25,11,22.16825402635745,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
334,True,"{'a': 0, 'e': 0}",25,13,22.818843487076172,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
335,True,"{'a': 0, 'e': 0}",30,4,23.57353758393117,"{0: 25, 1: 0, 2: 0, 3: 1, 4: 0}",1
336,True,"{'a': 0, 'e': 0}",20,13,14.620374780380835,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
