trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
2576,False,"{'a': 0.75, 'e': 0.07597971674036172}",25,20,7.533271766908236,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
2577,False,"{'a': 0.75, 'e': 0.07590373702362135}",20,8,21.34116282292073,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
2578,False,"{'a': 0.75, 'e': 0.07582783328659774}",20,12,13.23140948645407,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
2579,False,"{'a': 0.75, 'e': 0.07575200545331115}",30,11,2.1323392326184534,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 0}",1
2580,False,"{'a': 0.75, 'e': 0.07567625344785783}",25,7,-49.176273214584256,"{0: 15, 1: 0, 2: 1, 3: 1, 4: 1}",1
2581,False,"{'a': 0.75, 'e': 0.07560057719440998}",20,3,5.437310782505893,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
2582,False,"{'a': 0.75, 'e': 0.07552497661721556}",25,11,23.983214179881877,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
2583,False,"{'a': 0.75, 'e': 0.07544945164059835}",20,12,-28.204027941929994,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
2584,False,"{'a': 0.75, 'e': 0.07537400218895775}",20,8,-2.804880085315225,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
2585,False,"{'a': 0.75, 'e': 0.07529862818676879}",20,3,27.545626005861536,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
2586,False,"{'a': 0.75, 'e': 0.07522332955858202}",20,9,19.452728829922705,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
2587,False,"{'a': 0.75, 'e': 0.07514810622902345}",25,11,21.636641967163435,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
2588,False,"{'a': 0.75, 'e': 0.07507295812279442}",25,19,14.456866364334424,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
2589,False,"{'a': 0.75, 'e': 0.07499788516467162}",20,9,-15.841083736956183,"{0: 9, 1: 0, 2: 1, 3: 1, 4: 0}",1
2590,False,"{'a': 0.75, 'e': 0.07492288727950695}",20,13,-0.40513298610857484,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
2591,False,"{'a': 0.75, 'e': 0.07484796439222745}",35,11,34.19862650232348,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
2592,False,"{'a': 0.75, 'e': 0.07477311642783521}",20,9,-3.040347325259206,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
2593,False,"{'a': 0.75, 'e': 0.07469834331140739}",20,11,17.567660348279325,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
2594,False,"{'a': 0.75, 'e': 0.07462364496809597}",20,13,12.02352126533707,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
2595,False,"{'a': 0.75, 'e': 0.07454902132312788}",25,0,23.46601695853223,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
2596,False,"{'a': 0.75, 'e': 0.07447447230180475}",25,11,23.00326201512229,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
